,global ASI
259,2.0162772138033853
260,2.0372805608455167
261,1.9965430268285151
262,2.0484126550737183
263,1.9532450759983482
264,1.9261808797270363
265,2.001964632650551
266,1.9492384579511257
267,2.0044318415600832
268,2.035190107183229
269,1.8967294431220882
270,1.963730050328847
271,1.9262631206227439
272,1.9469881425219322
273,2.0306112934165523
274,2.039992095249454
275,2.004957617764009
276,1.8503594350768704
277,1.6942976069817888
278,1.7779531582941714
279,1.694281674397512
280,1.6833643412324222
281,1.7716920789378225
282,1.800067935202063
283,1.8481780681156588
284,2.012348580469445
285,2.0102539725537634
286,1.9399759797679004
287,1.8860607021607523
288,1.8120076618396759
289,1.8092342983939704
290,1.8271302447353508
291,1.8569065852305646
292,1.8772429873991803
293,1.8027046879091604
294,1.661508077860853
295,1.5971597858996198
296,1.7064892351237568
297,1.784688650831042
298,1.863905160160168
299,2.140935522268233
300,2.068401982211929
301,2.1263610889562337
302,2.0195266794685147
303,1.974423844802029
304,2.0075923444939554
305,2.0764069372553235
306,2.023607880730357
307,1.8436524717653864
308,1.6116482479091114
309,1.5678008673531845
310,1.7162921187137639
311,1.8265753533169966
312,1.7684698883838361
313,1.886945577337476
314,1.9435979232882188
315,1.8003673396135302
316,1.9327428769217028
317,1.9787333811266767
318,1.7587040210952773
319,1.7873752883151526
320,1.8583817900674116
321,1.6779541986701307
322,1.792492217092994
323,1.8651522506913776
324,1.8951893367438444
325,2.060906458424754
326,2.2736858479212074
327,2.323410946889137
328,2.238370562990135
329,2.333012966433043
330,2.192130838674199
331,1.9589006745552386
332,2.0296728367707018
333,2.2895288799889353
334,2.3005596174647382
335,2.1400160579176712
336,1.958195785367448
337,1.9052344980224314
338,1.8754257694413106
339,2.1239780150535688
340,2.133684713026858
341,2.090708167029517
342,2.1269173883148627
343,2.269362107117276
344,2.1372460981061354
345,1.8883207449193626
346,1.8100487702341548
347,1.794547609115819
348,2.053697156421393
349,2.2944812285959975
350,2.157570405645997
351,2.267977287948438
352,2.3326810360984696
353,2.0601323498496256
354,2.0754691938185963
355,1.9029584475017487
356,1.8944888565557754
357,2.024882270065803
358,2.1420380978235203
359,2.0059842024492505
360,2.29290319369694
361,2.2647721205744036
362,2.090786675700735
363,2.0132744801705247
364,1.9774134729900954
365,1.9357885008170812
366,2.154210036224607
367,2.290587371172061
368,2.0842041991265163
369,1.9157766631514146
370,1.8163284023438202
371,1.8974467200088028
372,1.9445000031258135
373,2.0174710579803574
374,1.8294168147969263
375,1.981984380292091
376,2.1170952512043253
377,1.884299593781288
378,2.2699557454817203
379,2.2973116925635435
380,2.060936621242877
381,1.754305214194559
382,1.8637317267937816
383,1.98571442956262
384,1.960061783241342
385,2.0767680552046452
386,1.9010018605446686
387,1.9964076964462345
388,2.2263421160235857
389,2.108948392912064
390,1.9855081237272465
391,2.0150940875390697
392,1.9436766965169563
393,2.001514307789562
394,1.7839038441911856
395,1.733307274420889
396,1.8171502118110592
397,1.9076008363430463
398,1.885088099125814
399,1.7894601420607275
400,1.8869746895318034
401,1.9599607018776295
402,1.7662259215805398
403,2.1314068345056643
404,2.243111150485489
405,2.2106262891327817
406,2.2120610435950634
407,2.0458817140180634
408,1.8086676604928253
409,1.712774695089836
410,1.8088288558611214
411,1.74785730950126
412,1.7730132433358974
413,1.9124290284591925
414,1.925076546415969
415,1.8938550959518106
416,2.0656337921565497
417,1.9160935548850118
418,2.007836537422339
419,2.126324426503592
420,1.9855588444008583
421,1.9836551799877264
422,2.0754644897315355
423,2.1070256065473263
424,1.967177838449456
425,2.0153584444359605
426,1.7108530578597638
427,1.7220497167352078
428,2.173729368706961
429,1.9893600675462113
430,2.1608162744192176
431,2.4254080366400785
432,1.9935905821103017
433,1.7888333455251988
434,2.0245960933587326
435,2.050581262897483
436,2.043808668074363
437,2.0988905002832645
438,2.1135544067214136
439,2.228659098918712
440,2.146656082434218
441,1.781922781834875
442,1.6820060556952519
443,1.8275504800588862
444,1.9243072162918293
445,1.757617193739171
446,1.8878451524959554
447,2.0185713670547742
448,1.88630432114955
449,1.8580908860907799
450,1.9286880376413815
451,2.1600620967550417
452,2.1911207341664056
453,2.026263227074973
454,1.9348209226954507
455,1.8299357518407817
456,1.9127976460456366
457,2.0738351043472334
458,1.8541183014383285
459,2.066684363713423
460,2.214692235380793
461,1.9714693446445526
462,1.9224567847584089
463,2.016631787078716
464,2.1266176052925823
465,2.2134364100584047
466,2.0359661308855106
467,1.9219728056022036
468,1.9418872017310422
469,1.8008601556374584
470,1.894129084600276
471,2.0890851481496706
472,1.9451425636315145
473,1.9371716440872382
474,1.993045340512675
475,2.0155167159710845
476,1.916103478645973
477,1.9257979629661897
478,1.9779951865220735
479,2.215279348223234
480,2.1392979308105833
481,2.0238997947063915
482,2.2345541680840784
483,2.327350125025941
484,1.9927564688375685
485,2.116980827669492
486,2.1844085215165783
487,2.004223836554341
488,2.064451722543377
489,1.949879355575113
490,2.0094444091929473
491,1.8404067215567548
492,1.8056298138210363
493,2.0159381111488903
494,2.0404022296646773
495,2.0198092482770353
496,2.118218010964754
497,2.3992685519941697
498,1.9754316283257185
499,1.782750670170214
500,1.9298800526160207
501,2.015855393228897
502,1.9207872742721284
503,2.0525319619061566
504,1.898212102760621
505,1.663500283209681
506,1.8483065359559168
507,2.1487219501907586
508,2.0485334701781093
509,2.182153030818891
510,1.9833076348666878
511,1.8898068496649676
512,1.9915928119963098
513,1.9908118843264027
514,1.8653762395122344
515,1.8314402768791207
516,2.0418056594851377
517,2.246373046695245
518,2.145674257989141
519,2.1026331921272403
520,1.9520884307006985
